Model,Train_R2,R2,RMSE,MAPE_%,MdAPE_%
LinearRegression (base),0.5578078081970289,0.7624274143962536,413616.7861383191,15.518312807325493,10.314387529924556
DecisionTree (base),0.8381631872916807,0.7789221476359818,398999.7394713694,16.892765834256824,10.997093040097129
RandomForest (base),0.8857310235093302,0.8514258270010349,327093.3045238819,13.62075574419331,8.687260059777351
LinearRegression (new),-681.0944349150703,-0.32679435416279246,977466.3175740688,37.984635081017935,27.991362512889097
DecisionTree (new),0.8330659183479253,0.771563900128198,405585.44560246094,16.809848274104986,11.044394124022798
RandomForest (new),0.8791318355370499,0.8463206914900344,332665.4455935564,14.094981840121973,9.464474731207334
LinearRegression (hybrid),0.6544562820345634,0.7583899858733597,417116.58573615935,15.60147723110495,10.480355454258724
DecisionTree (hybrid),0.8456024051931498,0.7752008083949367,402343.8489227913,16.586289205174772,10.801980189743029
RandomForest (hybrid),0.8883273076606777,0.8533652790331022,324951.3923319502,13.597133187039887,8.715215089888462
