Model,FeatureSet,n_estimators,max_depth,learning_rate,Train_R2,Test_R2,MAPE_%,MdAPE_%,RMSE_$,q0.5_ClosePrice,q99.5_ClosePrice
GradientBoostingRegressor,base,200,3,0.05,0.7814271246346878,0.7484662198795697,25.860926258023724,17.34527881918608,429426.3678350827,199999.375,6800000.0
GradientBoostingRegressor,base,200,3,0.1,0.8241394101498403,0.772499124410303,24.664410016256813,16.367257850408475,408396.56925273547,199999.375,6800000.0
GradientBoostingRegressor,base,200,5,0.05,0.8700641814745682,0.8030424227037443,22.51520228539761,14.735470646968324,379994.1368157369,199999.375,6800000.0
GradientBoostingRegressor,base,200,5,0.1,0.9052432258184483,0.807077055121201,22.650571658648264,13.94134342441494,376081.9501459184,199999.375,6800000.0
GradientBoostingRegressor,base,400,3,0.05,0.8236358593815437,0.7589435409314254,26.937888802917325,17.612714003064895,420387.6367445744,199999.375,6800000.0
GradientBoostingRegressor,base,400,3,0.1,0.8601057957021614,0.791465122739248,23.292121627524587,15.190722896947026,391002.82865530177,199999.375,6800000.0
GradientBoostingRegressor,base,400,5,0.05,0.9050840891058051,0.8222217423270726,20.38267983331334,13.19145165374448,361018.8443482125,199999.375,6800000.0
GradientBoostingRegressor,base,400,5,0.1,0.9334323201780441,0.8247156878338474,21.347439468789037,12.83286727062519,358477.6412236269,199999.375,6800000.0
GradientBoostingRegressor,new,200,3,0.05,0.7689724317074405,0.7191657376716423,31.868697590332523,21.568644982064143,453748.9098335466,199999.375,6800000.0
GradientBoostingRegressor,new,200,3,0.1,0.8114707831842682,0.7483430288644846,29.611224467902957,20.02762501013555,429531.51274737075,199999.375,6800000.0
GradientBoostingRegressor,new,200,5,0.05,0.8496681557070637,0.7563611125632339,30.2539975222156,19.54015671339454,422633.43608975434,199999.375,6800000.0
GradientBoostingRegressor,new,200,5,0.1,0.8843953623193205,0.7349364664002527,32.7662952947511,18.188298052237084,440824.3142002254,199999.375,6800000.0
GradientBoostingRegressor,new,400,3,0.05,0.8081071838381738,0.7330542712917222,31.98872544669591,21.54300606636764,442386.6747857974,199999.375,6800000.0
GradientBoostingRegressor,new,400,3,0.1,0.8467669556427595,0.7499850600741879,31.484837803853022,21.151032637242924,428127.89888932323,199999.375,6800000.0
GradientBoostingRegressor,new,400,5,0.05,0.8833372313018901,0.756769024467,30.93344432438494,18.835242587641886,422279.4913013992,199999.375,6800000.0
GradientBoostingRegressor,new,400,5,0.1,0.9166768081479324,0.7461129731477335,32.091447121667905,17.74860715785172,431430.4597396395,199999.375,6800000.0
GradientBoostingRegressor,hybrid,200,3,0.05,0.7825406616946986,0.7415802725073546,26.605016027866657,17.590104133609906,435264.6335571665,199999.375,6800000.0
GradientBoostingRegressor,hybrid,200,3,0.1,0.8206945612461161,0.745594196675722,27.89525825228369,18.160731939998747,431871.01347421814,199999.375,6800000.0
GradientBoostingRegressor,hybrid,200,5,0.05,0.8707515655563607,0.7837504218696411,24.440551205364887,15.006031910841239,398169.67746231833,199999.375,6800000.0
GradientBoostingRegressor,hybrid,200,5,0.1,0.9032818137847347,0.8147444468303053,21.44115651726242,13.549566648810766,368532.81667294324,199999.375,6800000.0
GradientBoostingRegressor,hybrid,400,3,0.05,0.8211846176269936,0.7423574862597584,28.163769588353126,17.909106712346404,434609.5976480233,199999.375,6800000.0
GradientBoostingRegressor,hybrid,400,3,0.1,0.85918970098681,0.7701557285031053,26.83408206838448,17.01335648498615,410494.5456881163,199999.375,6800000.0
GradientBoostingRegressor,hybrid,400,5,0.05,0.9057261347841062,0.8049491550933436,22.50726600380274,13.623192794256825,378150.3152915842,199999.375,6800000.0
GradientBoostingRegressor,hybrid,400,5,0.1,0.9341095407931317,0.8237583553552474,20.866075590782497,12.77487303537983,359455.2386448365,199999.375,6800000.0
